,book_title,author,link,price_no_disc,price_with_disc
0,Python for Everybody: Exploring Data in Python 3,Aimee Andrion,https://bookshop.org//books/python-for-everybody-exploring-data-in-python-3/9781530051120,$9.99,$9.99
1,Python Programming Language,Berajah Jayne,https://bookshop.org//books/python-programming-language/9781423241881,$7.95,$7.31
2,Python Basics: A Practical Introduction to Python 3,"Dan Bader, Joanna Jablonski,  et al.",https://bookshop.org//books/python-basics-a-practical-introduction-to-python-3/9781775093329,$39.99,$39.99
3,The Greedy Python,Richard Buckley and Eric Carle,https://bookshop.org//books/the-greedy-python/9781442445765,$4.99,$4.59
4,Python: - The Bible- 3 Manuscripts in 1 book: -Python...,Maurice J. Thompson,https://bookshop.org//books/python-the-bible-3-manuscripts-in-1-book-python-programming-for-beginners-python-programming-for-intermediates-python-715ca5a1-bcfd-4ec2-96fd-eb3fce3704ab/9781980953906,$27.97,$27.97
5,Python Pocket Reference: Python in Your Pocket,Mark Lutz,https://bookshop.org//books/python-pocket-reference-python-in-your-pocket/9781449357016,$19.99,$18.39
6,Python in Easy Steps: Covers Python 3.7,Mike McGrath,https://bookshop.org//books/python-in-easy-steps-covers-python-3-7/9781840788129,$15.99,$14.71
7,Effective Python: 90 Specific Ways to Write Better Python,Brett Slatkin,https://bookshop.org//books/effective-python-90-specific-ways-to-write-better-python/9780134853987,$49.99,$45.99
8,Python Tricks: A Buffet of Awesome Python Features,Dan Bader,https://bookshop.org//books/python-tricks-a-buffet-of-awesome-python-features/9781775093305,$29.99,$29.99
9,Pythons,Serena Stone,https://bookshop.org//books/pythons-9781791141585/9781791141578,$28.55,$26.27
10,Python Cookbook: Recipes for Mastering Python 3,David Beazley and Brian K. Jones,https://bookshop.org//books/python-cookbook-recipes-for-mastering-python-3/9781449340377,$59.99,$55.19
11,Ball Python (Royal Python),Lance Jepson,https://bookshop.org//books/ball-python-royal-python-9781907337673/9781907337673,$14.99,$13.79
12,Python All-In-One for Dummies,Alan Simpson and John C. Shovic,https://bookshop.org//books/python-all-in-one-for-dummies-9781119787600/9781119787600,$39.99,$36.79
13,Coding Projects in Python,DK,https://bookshop.org//books/coding-projects-in-python/9781465461889,$19.99,$18.39
14,A Day in Code- Python: Learn to Code in Python through an...,Shari Eskenas and Ana Quintero Villafraz,https://bookshop.org//books/a-day-in-code-python-learn-to-code-in-python-through-an-illustrated-story-for-kids-and-beginners-9781735907949/9781735907949,$14.99,$14.99
15,"Black Hat Python, 2nd Edition: Python Programming for Hackers...",Justin Seitz and Tim Arnold,https://bookshop.org//books/black-hat-python-2nd-edition-python-programming-for-hackers-and-pentesters/9781718501126,$44.99,$41.39
16,The Greedy Python,Richard Buckley and Eric Carle,https://bookshop.org//books/the-greedy-python-9781416982906/9781416982906,$7.99,$7.35
17,Python Scripting for Arcgis Pro,Paul A. Zandbergen,https://bookshop.org//books/python-scripting-for-arcgis-pro/9781589484993,$79.99,$73.59
18,Python Programming: An Introduction to Computer Science,John M. Zelle,https://bookshop.org//books/python-programming-an-introduction-to-computer-science/9781590282755,$54.00,$54.00
19,Pythons,Martha E. H. Rustad,https://bookshop.org//books/pythons-9781977123190/9781977123190,$29.32,$26.97
20,Deep Learning with Python,François Chollet,https://bookshop.org//books/deep-learning-with-python/9781617294433,$49.99,$49.99
21,The Python Workshop,"Lau Cher Han, Mario Corchero Jiménez,  et al.",https://bookshop.org//books/the-python-workshop/9781839218859,$47.99,$47.99
22,Bite-Size Python: An Introduction to Python Programming,April Speight,https://bookshop.org//books/bite-size-python-an-introduction-to-python-programming-9781119643845/9781119643814,$24.99,$22.99
23,Python for Dummies,Stef Maruch and Aahz Maruch,https://bookshop.org//books/python-for-dummies/9780471778646,$31.99,$29.43
24,Python for MBAs,Mattan Griffel and Daniel Guetta,https://bookshop.org//books/python-for-mbas/9780231193931,$42.00,$42.00
25,Pythons,Gail Terp,https://bookshop.org//books/pythons-9781644664681/9781644664681,$9.99,$9.99
26,Python 101,Michael Driscoll,https://bookshop.org//books/python-101/9780996062817,$25.00,$25.00
27,Python Programming and Visualization for Scientists,Grant W. Petty and Alex Decaria,https://bookshop.org//books/python-programming-and-visualization-for-scientists/9780972903356,$48.00,$48.00
28,Python: For Beginners A Crash Course Guide To Learn Python in...,Timothy C. Needham,https://bookshop.org//books/python-for-beginners-a-crash-course-guide-to-learn-python-in-1-week/9781393160939,$19.95,$19.95
29,Gm-Monty Python Fluxx,,https://bookshop.org//books/gm-monty-python-fluxx/9781929780693,$20.00,$18.40
30,Learn Python in One Day and Learn It Well (2nd Edition):...,Jamie Chan,https://bookshop.org//books/learn-python-in-one-day-and-learn-it-well-2nd-edition-python-for-beginners-with-hands-on-project-the-only-book-you-need-to-start-coding-in-python/9781546488330,$11.67,$11.67
31,Python Fundamentals,"Ryan Marvin, Mark Ng'ang'a,  et al.",https://bookshop.org//books/python-fundamentals/9781789807325,$29.99,$29.99
32,Python,Christopher Cheng and Mark Jackson,https://bookshop.org//books/python-9780763663964/9780763687731,$7.99,$7.99
33,Learning Scientific Programming with Python,Christian Hill,https://bookshop.org//books/learning-scientific-programming-with-python-9781108745918/9781108745918,$44.99,$44.99
34,Coding Games in Python,DK,https://bookshop.org//books/coding-games-in-python/9781465473615,$19.99,$18.39
35,python,Tony F. Charles,https://bookshop.org//books/python-9781801116039/9781801116039,$28.99,$26.67
36,CPython Internals: Your Guide to the Python 3 Interpreter,Anthony Shaw,https://bookshop.org//books/cpython-internals-your-guide-to-the-python-3-interpreter/9781775093343,$39.99,$39.99
37,Python Challenge!,Pm Heathcote,https://bookshop.org//books/python-challenge/9781910523353,$18.00,$18.00
38,Think Bayes: Bayesian Statistics in Python,Allen B. Downey,https://bookshop.org//books/think-bayes-bayesian-statistics-in-python-9781492089469/9781492089469,$49.99,$45.99
39,Murach's Python Programming,Michael Urban and Joel Murach,https://bookshop.org//books/murach-s-python-programming/9781890774974,$57.50,$57.50
