,name,position,contacts_full_info,type_of_contact,links
0,Doris Achelwilm,The Left Party,"{'doris-achelwilm.de': 'http://www.doris-achelwilm.de/', 'Facebook': 'https://www.facebook.com/doris.achelwilm.dielinke/', 'Twitter': 'https://twitter.com/DorisAchelwilm', 'Instagram': 'https://www.instagram.com/doris_achelwilm/'}","doris-achelwilm.de , Facebook , Twitter , Instagram","http://www.doris-achelwilm.de/ , https://www.facebook.com/doris.achelwilm.dielinke/ , https://twitter.com/DorisAchelwilm , https://www.instagram.com/doris_achelwilm/"
1,Grigorios Aggelidis,FDP,"{'grigorios-aggelidis.de': 'http://www.grigorios-aggelidis.de', 'Facebook': 'https://www.facebook.com/Aggelidis.Grigorios/?ref=ts&fref=ts', 'Twitter': 'https://twitter.com/aggelidis_fdp?lang=de', 'Instagram': 'https://www.instagram.com/grigorios.aggelidis/?hl=de'}","grigorios-aggelidis.de , Facebook , Twitter , Instagram","http://www.grigorios-aggelidis.de , https://www.facebook.com/Aggelidis.Grigorios/?ref=ts&fref=ts , https://twitter.com/aggelidis_fdp?lang=de , https://www.instagram.com/grigorios.aggelidis/?hl=de"
2,Gökay Akbulut,The Left Party,"{'goekay-akbulut.de': 'https://goekay-akbulut.de/', 'Facebook': 'https://www.facebook.com/gokay.akbulut.146', 'Twitter': 'https://twitter.com/akbulutgokay?lang=de', 'Instagram': 'https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de'}","goekay-akbulut.de , Facebook , Twitter , Instagram","https://goekay-akbulut.de/ , https://www.facebook.com/gokay.akbulut.146 , https://twitter.com/akbulutgokay?lang=de , https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de"
3,Stephan Albani,CDU/CSU,{'stephan-albani.de': 'http://www.stephan-albani.de'},stephan-albani.de,http://www.stephan-albani.de
4,Renata Alt,FDP,"{'renata-alt.de': 'http://www.renata-alt.de', 'Facebook': 'https://www.facebook.com/AltRenata/'}","renata-alt.de , Facebook","http://www.renata-alt.de , https://www.facebook.com/AltRenata/"
5,Norbert Altenkamp,CDU/CSU,"{'norbert-altenkamp.de': 'http://www.norbert-altenkamp.de/', 'Facebook': 'https://www.facebook.com/AltenkampMdB/'}","norbert-altenkamp.de , Facebook","http://www.norbert-altenkamp.de/ , https://www.facebook.com/AltenkampMdB/"
6,Peter Altmaier,CDU/CSU,"{'peteraltmaier.de': 'http://www.peteraltmaier.de/', 'Facebook': 'https://de-de.facebook.com/peter.altmaier/', 'Twitter': 'https://twitter.com/peteraltmaier'}","peteraltmaier.de , Facebook , Twitter","http://www.peteraltmaier.de/ , https://de-de.facebook.com/peter.altmaier/ , https://twitter.com/peteraltmaier"
7,Philipp Amthor,CDU/CSU,"{'philipp-amthor.de': 'http://www.philipp-amthor.de/', 'Facebook': 'https://www.facebook.com/amthor.philipp/'}","philipp-amthor.de , Facebook","http://www.philipp-amthor.de/ , https://www.facebook.com/amthor.philipp/"
8,Luise Amtsberg,Alliance 90/The Greens,"{'luise-amtsberg.de': 'http://www.luise-amtsberg.de', 'Facebook': 'https://de-de.facebook.com/LuiseAmtsberg/', 'Instagram': 'https://www.instagram.com/amtsbergluise/?hl=de'}","luise-amtsberg.de , Facebook , Instagram","http://www.luise-amtsberg.de , https://de-de.facebook.com/LuiseAmtsberg/ , https://www.instagram.com/amtsbergluise/?hl=de"
9,Kerstin Andreae,Alliance 90/The Greens,{'Wahlkreis 281: Freiburg': '?wknr=281#scroll=mod'},Wahlkreis 281: Freiburg,?wknr=281#scroll=mod
10,Niels Annen,SPD,{'nielsannen.de': 'http://www.nielsannen.de'},nielsannen.de,http://www.nielsannen.de
11,Ingrid Arndt-Brauer,SPD,{'arndt-brauer.de': 'http://www.arndt-brauer.de'},arndt-brauer.de,http://www.arndt-brauer.de
12,Christine Aschenberg-Dugnus,FDP,"{'caschenbergdugnus.abgeordnete.fdpbt.de': 'https://caschenbergdugnus.abgeordnete.fdpbt.de/', 'Facebook': 'https://www.facebook.com/AschenbergDugnusMdB/', 'Twitter': 'https://twitter.com/cad59?lang=de', 'Instagram': 'https://www.instagram.com/aschenbergdugnus/?hl=de'}","caschenbergdugnus.abgeordnete.fdpbt.de , Facebook , Twitter , Instagram","https://caschenbergdugnus.abgeordnete.fdpbt.de/ , https://www.facebook.com/AschenbergDugnusMdB/ , https://twitter.com/cad59?lang=de , https://www.instagram.com/aschenbergdugnus/?hl=de"
13,Artur Auernhammer,CDU/CSU,{'Facebook': 'https://www.facebook.com/AuernhammerMdB'},Facebook,https://www.facebook.com/AuernhammerMdB
14,Peter Aumer,CDU/CSU,"{'peter-aumer.de': 'http://www.peter-aumer.de/', 'Facebook': 'https://www.facebook.com/PeAumer/'}","peter-aumer.de , Facebook","http://www.peter-aumer.de/ , https://www.facebook.com/PeAumer/"
15,Bela Bach,SPD,"{'Facebook': 'https://www.facebook.com/BelaBachSPD/', 'Twitter': 'https://twitter.com/bela_bach', 'Instagram': 'https://www.instagram.com/bela_bach/'}","Facebook , Twitter , Instagram","https://www.facebook.com/BelaBachSPD/ , https://twitter.com/bela_bach , https://www.instagram.com/bela_bach/"
16,Lisa Badum,Alliance 90/The Greens,"{'lisa-badum.de': 'http://www.lisa-badum.de/', 'Facebook': 'https://www.facebook.com/BadumLisa/', 'Twitter': 'https://twitter.com/badulrichmartha', 'Instagram': 'https://www.instagram.com/badumlisa/?hl=de'}","lisa-badum.de , Facebook , Twitter , Instagram","http://www.lisa-badum.de/ , https://www.facebook.com/BadumLisa/ , https://twitter.com/badulrichmartha , https://www.instagram.com/badumlisa/?hl=de"
17,Heike Baehrens,SPD,{'heike-baehrens.de': 'http://www.heike-baehrens.de'},heike-baehrens.de,http://www.heike-baehrens.de
18,Dorothee Bär,CDU/CSU,{'dorothee-baer.de': 'https://dorothee-baer.de/'},dorothee-baer.de,https://dorothee-baer.de/
19,Annalena Baerbock,Alliance 90/The Greens,{'Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II': '?wknr=061#scroll=mod'},Wahlkreis 061: Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,?wknr=061#scroll=mod
20,Grigorios Aggelidis,FDP,"{'grigorios-aggelidis.de': 'http://www.grigorios-aggelidis.de', 'Facebook': 'https://www.facebook.com/Aggelidis.Grigorios/?ref=ts&fref=ts', 'Twitter': 'https://twitter.com/aggelidis_fdp?lang=de', 'Instagram': 'https://www.instagram.com/grigorios.aggelidis/?hl=de'}","grigorios-aggelidis.de , Facebook , Twitter , Instagram","http://www.grigorios-aggelidis.de , https://www.facebook.com/Aggelidis.Grigorios/?ref=ts&fref=ts , https://twitter.com/aggelidis_fdp?lang=de , https://www.instagram.com/grigorios.aggelidis/?hl=de"
21,Gökay Akbulut,The Left Party,"{'goekay-akbulut.de': 'https://goekay-akbulut.de/', 'Facebook': 'https://www.facebook.com/gokay.akbulut.146', 'Twitter': 'https://twitter.com/akbulutgokay?lang=de', 'Instagram': 'https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de'}","goekay-akbulut.de , Facebook , Twitter , Instagram","https://goekay-akbulut.de/ , https://www.facebook.com/gokay.akbulut.146 , https://twitter.com/akbulutgokay?lang=de , https://www.instagram.com/gokayakbulut_mdb_linke/?hl=de"
22,Stephan Albani,CDU/CSU,{'stephan-albani.de': 'http://www.stephan-albani.de'},stephan-albani.de,http://www.stephan-albani.de
23,Renata Alt,FDP,"{'renata-alt.de': 'http://www.renata-alt.de', 'Facebook': 'https://www.facebook.com/AltRenata/'}","renata-alt.de , Facebook","http://www.renata-alt.de , https://www.facebook.com/AltRenata/"
24,Norbert Altenkamp,CDU/CSU,"{'norbert-altenkamp.de': 'http://www.norbert-altenkamp.de/', 'Facebook': 'https://www.facebook.com/AltenkampMdB/'}","norbert-altenkamp.de , Facebook","http://www.norbert-altenkamp.de/ , https://www.facebook.com/AltenkampMdB/"
25,Peter Altmaier,CDU/CSU,"{'peteraltmaier.de': 'http://www.peteraltmaier.de/', 'Facebook': 'https://de-de.facebook.com/peter.altmaier/', 'Twitter': 'https://twitter.com/peteraltmaier'}","peteraltmaier.de , Facebook , Twitter","http://www.peteraltmaier.de/ , https://de-de.facebook.com/peter.altmaier/ , https://twitter.com/peteraltmaier"
