,job_title,company,experience,location,description,skills_required,min_experience
0,Python,    Pure Tech Codex Private Limited        ,2 - 3 ,Pune," 2 to 3 Years experience in Python.Expert in Python ,  with knowledge of at least one Python web framework  Flask ,  Django etc.Expert in server programming.Go... ","rest,python,database,django,debugging,mongodb",2
1,Python,    ilabz technology ltd        ,5 - 8 ,"Chennai,Bengaluru/Bangalore","Python is an interpreted ,  high-level ,  and general-purpose programming language. Pythons design philosophy emphasizes code readability with its notable use of significant w... ","python,css,javascript,html,softwaredeveloper",5
2,Python,    Surya Informatics Solutions Pvt. Ltd.        ,0 - 3 ,Chennai,"POSITION: Python Developer ELIGIBILITY: FRESHERS Your RoleUnderstand requirements and participate in project road map discussions in order to design ,  estimate ,  and deliver... ","python,webtechnologies,linux,mobile,mysql,angularjs,javascript",0
3,Python,    capgemini        ,12 - 15 ,Pune,"Job DescriptionExperience in Python ,  with knowledge of at least one Python web framework ,  such as Django ,  Flask ,  etc depending on your technology stackFamiliarity with... ","securitycompliance,python,html5,mobile,javascript,database,django,pythonscripting",1
4,Python,    Gemini Solutions        ,4 - 7 ,Gurgaon,4  Years GurgaonB.TechRequired Skills 4   years of software quality assurance experienceExperience on creating Framework For Test Automation.Good knowledge of Python Scripting... ,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",4
5,Python,    RESEARCH DEVELOPERS     (More Jobs) ,0 - 3 ,"Delhi,Delhi/NCR,Noida/GreaterNoida","Excellent understanding of machine learning techniques and algorithms ,  such as k-NN ,  Naive Bayes ,  SVM ,  Decision Forests ,  etc.Experience with common data science tool... ","python,research,pythonprogrammer,MachineLearning,PatternRecognition,ImageProcessing,DigitalImage,SignalProcessing,ElectronicCircuits,NetworkAnalysis",0
6,Python,    TandA HR Solutions        ,3 - 5 ,Mohali,Hiring for Python Developer for Females in MNC Company for Mohali locationProfile  Python DeveloperExperience  3 to 5 yearsLocation  MohaliGender Preference  FemaleQualificati... ,"Djangoframework,PythonDeveloper,corepython",3
7,Python,    east india securities ltd.        ,2 - 5 ,Kolkata,job_description   2  years of experience working with python    Strong analytical skills    Ability to churn scripting solutions with a quick turnaround time    Inclination to... ,"python,hadoop,machinelearning",2
8,Python,    YM Global Technologies Pte Ltd        ,4 - 7 ,Singapore,"python development experience ,  code that is production quality and following best practices and design patterns Dev ops experience ,  preferably with Jenkins Container techn... ","python,apache,machinelearning",4
9,Python,    Virtual Hr Solutions     (More Jobs) ,2 - 3 ,Kolkata,We are looking to hire candidates for the post of Python programmer /  developer for our company  ( Exlitem Research Consulting )  for remote / work from home position.Who do ... ,Pythonprogrammer,2
