,Player_x,Team_x,Number_x,Position_x,Height_x,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS,Player_y,Team_y,Number_y,Position_y,Height_y
0,GarrettTemple,NOP,17.0,G-F,6-5,195 lbs,Louisiana State,USA,https://www.nba.com/player/202066/garrett-temple,"MAY 16, 2021",CHI vs. MIL,W,29,7,,,,,
1,GarrettTemple,NOP,17.0,G-F,6-5,195 lbs,Louisiana State,USA,https://www.nba.com/player/202066/garrett-temple,"MAY 15, 2021",CHI @ BKN,L,27,8,,,,,
2,GarrettTemple,NOP,17.0,G-F,6-5,195 lbs,Louisiana State,USA,https://www.nba.com/player/202066/garrett-temple,"MAY 13, 2021",CHI vs. TOR,W,27,2,,,,,
3,GarrettTemple,NOP,17.0,G-F,6-5,195 lbs,Louisiana State,USA,https://www.nba.com/player/202066/garrett-temple,"MAY 11, 2021",CHI vs. BKN,L,29,7,,,,,
4,GarrettTemple,NOP,17.0,G-F,6-5,195 lbs,Louisiana State,USA,https://www.nba.com/player/202066/garrett-temple,"MAY 09, 2021",CHI @ DET,W,31,1,,,,,
5,TyrellTerry,DAL,1.0,G,6-2,160 lbs,Stanford,USA,https://www.nba.com/player/1630179/tyrell-terry,"JAN 29, 2021",DAL @ UTA,L,4,0,,,,,
6,TyrellTerry,DAL,1.0,G,6-2,160 lbs,Stanford,USA,https://www.nba.com/player/1630179/tyrell-terry,"JAN 27, 2021",DAL @ UTA,L,2,1,,,,,
7,TyrellTerry,DAL,1.0,G,6-2,160 lbs,Stanford,USA,https://www.nba.com/player/1630179/tyrell-terry,"JAN 23, 2021",DAL vs. HOU,L,12,2,,,,,
8,TyrellTerry,DAL,1.0,G,6-2,160 lbs,Stanford,USA,https://www.nba.com/player/1630179/tyrell-terry,"JAN 18, 2021",DAL @ TOR,L,3,0,,,,,
9,TyrellTerry,DAL,1.0,G,6-2,160 lbs,Stanford,USA,https://www.nba.com/player/1630179/tyrell-terry,"JAN 17, 2021",DAL vs. CHI,L,15,4,,,,,
10,DanielTheis,HOU,27.0,F-C,6-8,245 lbs,Brose Bamberg,Germany,https://www.nba.com/player/1628464/daniel-theis,"MAY 11, 2021",CHI vs. BKN,L,21,10,,,,,
11,DanielTheis,HOU,27.0,F-C,6-8,245 lbs,Brose Bamberg,Germany,https://www.nba.com/player/1628464/daniel-theis,"MAY 07, 2021",CHI vs. BOS,W,29,9,,,,,
12,DanielTheis,HOU,27.0,F-C,6-8,245 lbs,Brose Bamberg,Germany,https://www.nba.com/player/1628464/daniel-theis,"MAY 06, 2021",CHI @ CHA,W,26,12,,,,,
13,DanielTheis,HOU,27.0,F-C,6-8,245 lbs,Brose Bamberg,Germany,https://www.nba.com/player/1628464/daniel-theis,"MAY 03, 2021",CHI vs. PHI,L,40,11,,,,,
14,DanielTheis,HOU,27.0,F-C,6-8,245 lbs,Brose Bamberg,Germany,https://www.nba.com/player/1628464/daniel-theis,"MAY 01, 2021",CHI @ ATL,L,29,7,,,,,
15,BrodricThomas,CLE,33.0,G,6-5,185 lbs,Truman State,USA,https://www.nba.com/player/1630271/brodric-thomas,"MAY 16, 2021",CLE @ BKN,L,31,14,,,,,
16,BrodricThomas,CLE,33.0,G,6-5,185 lbs,Truman State,USA,https://www.nba.com/player/1630271/brodric-thomas,"MAY 14, 2021",CLE @ WAS,L,23,6,,,,,
17,BrodricThomas,CLE,33.0,G,6-5,185 lbs,Truman State,USA,https://www.nba.com/player/1630271/brodric-thomas,"MAY 12, 2021",CLE vs. BOS,W,34,5,,,,,
18,BrodricThomas,CLE,33.0,G,6-5,185 lbs,Truman State,USA,https://www.nba.com/player/1630271/brodric-thomas,"MAY 10, 2021",CLE vs. IND,L,34,5,,,,,
