,Player,Team,Number,Position,Height,Weight,Last Attended,Country,links,Game Date,Matchup,W/L,MIN,PTS
0,KyleGuy,SAC,7.0,G,6-1,167 lbs,Virginia,USA,https://www.nba.com/player/1629657/kyle-guy,"MAY 16, 2021",SAC vs. UTA,L,19,6
1,KyleGuy,SAC,7.0,G,6-1,167 lbs,Virginia,USA,https://www.nba.com/player/1629657/kyle-guy,"MAY 11, 2021",SAC vs. OKC,W,6,0
2,KyleGuy,SAC,7.0,G,6-1,167 lbs,Virginia,USA,https://www.nba.com/player/1629657/kyle-guy,"MAY 09, 2021",SAC vs. OKC,W,4,0
3,KyleGuy,SAC,7.0,G,6-1,167 lbs,Virginia,USA,https://www.nba.com/player/1629657/kyle-guy,"MAY 07, 2021",SAC vs. SAS,L,11,7
4,KyleGuy,SAC,7.0,G,6-1,167 lbs,Virginia,USA,https://www.nba.com/player/1629657/kyle-guy,"MAY 05, 2021",SAC @ IND,W,8,0
5,RuiHachimura,WAS,8.0,F,6-8,230 lbs,Gonzaga,Japan,https://www.nba.com/player/1629060/rui-hachimura,"JUN 02, 2021",WAS @ PHI,L,43,21
6,RuiHachimura,WAS,8.0,F,6-8,230 lbs,Gonzaga,Japan,https://www.nba.com/player/1629060/rui-hachimura,"MAY 31, 2021",WAS vs. PHI,W,42,20
7,RuiHachimura,WAS,8.0,F,6-8,230 lbs,Gonzaga,Japan,https://www.nba.com/player/1629060/rui-hachimura,"MAY 29, 2021",WAS vs. PHI,L,27,10
8,RuiHachimura,WAS,8.0,F,6-8,230 lbs,Gonzaga,Japan,https://www.nba.com/player/1629060/rui-hachimura,"MAY 26, 2021",WAS @ PHI,L,26,11
9,RuiHachimura,WAS,8.0,F,6-8,230 lbs,Gonzaga,Japan,https://www.nba.com/player/1629060/rui-hachimura,"MAY 23, 2021",WAS @ PHI,L,36,12
10,TyreseHaliburton,SAC,0.0,G,6-5,185 lbs,Iowa State,USA,https://www.nba.com/player/1630169/tyrese-haliburton,"MAY 02, 2021",SAC @ DAL,W,23,11
11,TyreseHaliburton,SAC,0.0,G,6-5,185 lbs,Iowa State,USA,https://www.nba.com/player/1630169/tyrese-haliburton,"APR 30, 2021",SAC @ LAL,W,39,23
12,TyreseHaliburton,SAC,0.0,G,6-5,185 lbs,Iowa State,USA,https://www.nba.com/player/1630169/tyrese-haliburton,"APR 28, 2021",SAC vs. UTA,L,30,13
13,TyreseHaliburton,SAC,0.0,G,6-5,185 lbs,Iowa State,USA,https://www.nba.com/player/1630169/tyrese-haliburton,"APR 26, 2021",SAC vs. DAL,W,36,14
14,TyreseHaliburton,SAC,0.0,G,6-5,185 lbs,Iowa State,USA,https://www.nba.com/player/1630169/tyrese-haliburton,"APR 25, 2021",SAC @ GSW,L,37,24
15,JoshHall,OKC,15.0,F,6-9,190 lbs,Moravian Prep (NC),USA,https://www.nba.com/player/1630221/josh-hall,"MAY 16, 2021",OKC vs. LAC,W,43,25
16,JoshHall,OKC,15.0,F,6-9,190 lbs,Moravian Prep (NC),USA,https://www.nba.com/player/1630221/josh-hall,"MAY 09, 2021",OKC @ SAC,L,17,0
17,JoshHall,OKC,15.0,F,6-9,190 lbs,Moravian Prep (NC),USA,https://www.nba.com/player/1630221/josh-hall,"MAY 08, 2021",OKC @ GSW,L,26,2
18,JoshHall,OKC,15.0,F,6-9,190 lbs,Moravian Prep (NC),USA,https://www.nba.com/player/1630221/josh-hall,"MAY 06, 2021",OKC @ GSW,L,24,8
19,JoshHall,OKC,15.0,F,6-9,190 lbs,Moravian Prep (NC),USA,https://www.nba.com/player/1630221/josh-hall,"MAY 04, 2021",OKC vs. SAC,L,22,7
20,JohnnyHamilton,ATL,24.0,C,7-0,230 lbs,Texas-Arlington,USA,https://www.nba.com/player/1629148/johnny-hamilton,"OCT 05, 2018",DET @ SAS,L,6,6
21,R.J.Hampton,ORL,13.0,G,6-4,175 lbs,New Zealand Breakers,USA,https://www.nba.com/player/1630181/rj-hampton,"MAY 14, 2021",ORL @ PHI,L,30,12
22,R.J.Hampton,ORL,13.0,G,6-4,175 lbs,New Zealand Breakers,USA,https://www.nba.com/player/1630181/rj-hampton,"MAY 13, 2021",ORL @ ATL,L,32,18
23,R.J.Hampton,ORL,13.0,G,6-4,175 lbs,New Zealand Breakers,USA,https://www.nba.com/player/1630181/rj-hampton,"MAY 11, 2021",ORL @ MIL,L,25,11
24,R.J.Hampton,ORL,13.0,G,6-4,175 lbs,New Zealand Breakers,USA,https://www.nba.com/player/1630181/rj-hampton,"MAY 09, 2021",ORL vs. MIN,L,29,19
25,R.J.Hampton,ORL,13.0,G,6-4,175 lbs,New Zealand Breakers,USA,https://www.nba.com/player/1630181/rj-hampton,"MAY 07, 2021",ORL @ CHA,L,30,16
26,TimHardaway Jr.,DAL,11.0,G-F,6-5,205 lbs,Michigan,USA,https://www.nba.com/player/203501/tim-hardaway-jr,"JUN 06, 2021",DAL @ LAC,L,43,11
27,TimHardaway Jr.,DAL,11.0,G-F,6-5,205 lbs,Michigan,USA,https://www.nba.com/player/203501/tim-hardaway-jr,"JUN 04, 2021",DAL vs. LAC,L,38,23
28,TimHardaway Jr.,DAL,11.0,G-F,6-5,205 lbs,Michigan,USA,https://www.nba.com/player/203501/tim-hardaway-jr,"JUN 02, 2021",DAL @ LAC,W,45,20
29,TimHardaway Jr.,DAL,11.0,G-F,6-5,205 lbs,Michigan,USA,https://www.nba.com/player/203501/tim-hardaway-jr,"MAY 30, 2021",DAL vs. LAC,L,25,4
30,TimHardaway Jr.,DAL,11.0,G-F,6-5,205 lbs,Michigan,USA,https://www.nba.com/player/203501/tim-hardaway-jr,"MAY 28, 2021",DAL vs. LAC,L,40,12
31,JamesHarden,BKN,13.0,G,6-5,220 lbs,Arizona State,USA,https://www.nba.com/player/201935/james-harden,"JUN 19, 2021",BKN vs. MIL,L,53,22
32,JamesHarden,BKN,13.0,G,6-5,220 lbs,Arizona State,USA,https://www.nba.com/player/201935/james-harden,"JUN 17, 2021",BKN @ MIL,L,40,16
33,JamesHarden,BKN,13.0,G,6-5,220 lbs,Arizona State,USA,https://www.nba.com/player/201935/james-harden,"JUN 15, 2021",BKN vs. MIL,W,46,5
34,JamesHarden,BKN,13.0,G,6-5,220 lbs,Arizona State,USA,https://www.nba.com/player/201935/james-harden,"JUN 05, 2021",BKN vs. MIL,W,1,0
35,JamesHarden,BKN,13.0,G,6-5,220 lbs,Arizona State,USA,https://www.nba.com/player/201935/james-harden,"JUN 01, 2021",BKN vs. BOS,W,39,34
36,MauriceHarkless,SAC,8.0,F-G,6-7,220 lbs,St. John's,USA,https://www.nba.com/player/203090/maurice-harkless,"MAY 14, 2021",SAC @ MEM,L,8,0
37,MauriceHarkless,SAC,8.0,F-G,6-7,220 lbs,St. John's,USA,https://www.nba.com/player/203090/maurice-harkless,"MAY 13, 2021",SAC @ MEM,L,29,3
38,MauriceHarkless,SAC,8.0,F-G,6-7,220 lbs,St. John's,USA,https://www.nba.com/player/203090/maurice-harkless,"MAY 11, 2021",SAC vs. OKC,W,34,15
39,MauriceHarkless,SAC,8.0,F-G,6-7,220 lbs,St. John's,USA,https://www.nba.com/player/203090/maurice-harkless,"MAY 09, 2021",SAC vs. OKC,W,26,18
40,MauriceHarkless,SAC,8.0,F-G,6-7,220 lbs,St. John's,USA,https://www.nba.com/player/203090/maurice-harkless,"MAY 07, 2021",SAC vs. SAS,L,39,12
41,MontrezlHarrell,WAS,15.0,F-C,6-7,240 lbs,Louisville,USA,https://www.nba.com/player/1626149/montrezl-harrell,"JUN 03, 2021",LAL vs. PHX,L,8,2
42,MontrezlHarrell,WAS,15.0,F-C,6-7,240 lbs,Louisville,USA,https://www.nba.com/player/1626149/montrezl-harrell,"JUN 01, 2021",LAL @ PHX,L,12,9
43,MontrezlHarrell,WAS,15.0,F-C,6-7,240 lbs,Louisville,USA,https://www.nba.com/player/1626149/montrezl-harrell,"MAY 30, 2021",LAL vs. PHX,L,5,0
44,MontrezlHarrell,WAS,15.0,F-C,6-7,240 lbs,Louisville,USA,https://www.nba.com/player/1626149/montrezl-harrell,"MAY 23, 2021",LAL @ PHX,L,15,12
45,MontrezlHarrell,WAS,15.0,F-C,6-7,240 lbs,Louisville,USA,https://www.nba.com/player/1626149/montrezl-harrell,"MAY 19, 2021",LAL vs. GSW,W,10,4
46,GaryHarris,ORL,14.0,G,6-4,210 lbs,Michigan State,USA,https://www.nba.com/player/203914/gary-harris,"MAY 16, 2021",ORL @ PHI,L,14,7
47,GaryHarris,ORL,14.0,G,6-4,210 lbs,Michigan State,USA,https://www.nba.com/player/203914/gary-harris,"MAY 14, 2021",ORL @ PHI,L,15,8
48,GaryHarris,ORL,14.0,G,6-4,210 lbs,Michigan State,USA,https://www.nba.com/player/203914/gary-harris,"MAY 13, 2021",ORL @ ATL,L,20,7
49,GaryHarris,ORL,14.0,G,6-4,210 lbs,Michigan State,USA,https://www.nba.com/player/203914/gary-harris,"MAY 11, 2021",ORL @ MIL,L,29,14
50,GaryHarris,ORL,14.0,G,6-4,210 lbs,Michigan State,USA,https://www.nba.com/player/203914/gary-harris,"MAY 09, 2021",ORL vs. MIN,L,23,6
51,JoeHarris,BKN,12.0,G-F,6-6,220 lbs,Virginia,USA,https://www.nba.com/player/203925/joe-harris,"JUN 19, 2021",BKN vs. MIL,L,47,10
52,JoeHarris,BKN,12.0,G-F,6-6,220 lbs,Virginia,USA,https://www.nba.com/player/203925/joe-harris,"JUN 17, 2021",BKN @ MIL,L,36,9
53,JoeHarris,BKN,12.0,G-F,6-6,220 lbs,Virginia,USA,https://www.nba.com/player/203925/joe-harris,"JUN 15, 2021",BKN vs. MIL,W,37,5
54,JoeHarris,BKN,12.0,G-F,6-6,220 lbs,Virginia,USA,https://www.nba.com/player/203925/joe-harris,"JUN 13, 2021",BKN @ MIL,L,38,8
55,JoeHarris,BKN,12.0,G-F,6-6,220 lbs,Virginia,USA,https://www.nba.com/player/203925/joe-harris,"JUN 10, 2021",BKN @ MIL,L,37,3
56,TobiasHarris,PHI,12.0,F,6-8,226 lbs,Tennessee,USA,https://www.nba.com/player/202699/tobias-harris,"JUN 20, 2021",PHI vs. ATL,L,45,24
57,TobiasHarris,PHI,12.0,F,6-8,226 lbs,Tennessee,USA,https://www.nba.com/player/202699/tobias-harris,"JUN 18, 2021",PHI @ ATL,W,39,24
58,TobiasHarris,PHI,12.0,F,6-8,226 lbs,Tennessee,USA,https://www.nba.com/player/202699/tobias-harris,"JUN 16, 2021",PHI vs. ATL,L,38,4
59,TobiasHarris,PHI,12.0,F,6-8,226 lbs,Tennessee,USA,https://www.nba.com/player/202699/tobias-harris,"JUN 14, 2021",PHI @ ATL,L,39,20
60,TobiasHarris,PHI,12.0,F,6-8,226 lbs,Tennessee,USA,https://www.nba.com/player/202699/tobias-harris,"JUN 11, 2021",PHI @ ATL,W,38,22
61,ShaquilleHarrison,DEN,3.0,G,6-7,190 lbs,Tulsa,USA,https://www.nba.com/player/1627885/shaquille-harrison,"JUN 13, 2021",DEN vs. PHX,L,1,0
62,ShaquilleHarrison,DEN,3.0,G,6-7,190 lbs,Tulsa,USA,https://www.nba.com/player/1627885/shaquille-harrison,"JUN 11, 2021",DEN vs. PHX,L,2,0
63,ShaquilleHarrison,DEN,3.0,G,6-7,190 lbs,Tulsa,USA,https://www.nba.com/player/1627885/shaquille-harrison,"JUN 09, 2021",DEN @ PHX,L,6,0
64,ShaquilleHarrison,DEN,3.0,G,6-7,190 lbs,Tulsa,USA,https://www.nba.com/player/1627885/shaquille-harrison,"JUN 07, 2021",DEN @ PHX,L,2,2
65,ShaquilleHarrison,DEN,3.0,G,6-7,190 lbs,Tulsa,USA,https://www.nba.com/player/1627885/shaquille-harrison,"JUN 03, 2021",DEN @ POR,W,0,0
66,JoshHart,NOP,3.0,G,6-5,215 lbs,Villanova,USA,https://www.nba.com/player/1628404/josh-hart,"APR 01, 2021",NOP vs. ORL,L,47,14
67,JoshHart,NOP,3.0,G,6-5,215 lbs,Villanova,USA,https://www.nba.com/player/1628404/josh-hart,"MAR 29, 2021",NOP @ BOS,W,32,15
68,JoshHart,NOP,3.0,G,6-5,215 lbs,Villanova,USA,https://www.nba.com/player/1628404/josh-hart,"MAR 27, 2021",NOP vs. DAL,W,28,2
69,JoshHart,NOP,3.0,G,6-5,215 lbs,Villanova,USA,https://www.nba.com/player/1628404/josh-hart,"MAR 26, 2021",NOP vs. DEN,L,27,10
70,JoshHart,NOP,3.0,G,6-5,215 lbs,Villanova,USA,https://www.nba.com/player/1628404/josh-hart,"MAR 23, 2021",NOP vs. LAL,W,27,2
71,IsaiahHartenstein,CLE,55.0,C-F,7-0,250 lbs,Zalgiris,Germany,https://www.nba.com/player/1628392/isaiah-hartenstein,"MAY 07, 2021",CLE @ DAL,L,13,2
72,IsaiahHartenstein,CLE,55.0,C-F,7-0,250 lbs,Zalgiris,Germany,https://www.nba.com/player/1628392/isaiah-hartenstein,"MAY 05, 2021",CLE vs. POR,L,13,8
73,IsaiahHartenstein,CLE,55.0,C-F,7-0,250 lbs,Zalgiris,Germany,https://www.nba.com/player/1628392/isaiah-hartenstein,"APR 25, 2021",CLE @ WAS,L,14,4
74,IsaiahHartenstein,CLE,55.0,C-F,7-0,250 lbs,Zalgiris,Germany,https://www.nba.com/player/1628392/isaiah-hartenstein,"APR 23, 2021",CLE @ CHA,L,15,10
75,IsaiahHartenstein,CLE,55.0,C-F,7-0,250 lbs,Zalgiris,Germany,https://www.nba.com/player/1628392/isaiah-hartenstein,"APR 21, 2021",CLE vs. CHI,W,16,10
