;Player;Team;Number;Position;Height;Weight;Last Attended;Country;links;Game Date;Matchup;W/L;MIN;PTS
0;Precious Achiuwa;TOR;5;F;06.Aug;225 lbs;Memphis;Nigeria;https://www.nba.com/player/1630173/precious-achiuwa;MAY 29, 2021;MIA vs. MIL;L;1;2
1;Precious Achiuwa;TOR;5;F;06.Aug;225 lbs;Memphis;Nigeria;https://www.nba.com/player/1630173/precious-achiuwa;MAY 27, 2021;MIA vs. MIL;L;4;2
2;Precious Achiuwa;TOR;5;F;06.Aug;225 lbs;Memphis;Nigeria;https://www.nba.com/player/1630173/precious-achiuwa;MAY 24, 2021;MIA @ MIL;L;7;3
3;Precious Achiuwa;TOR;5;F;06.Aug;225 lbs;Memphis;Nigeria;https://www.nba.com/player/1630173/precious-achiuwa;MAY 16, 2021;MIA @ DET;W;42;23
4;Precious Achiuwa;TOR;5;F;06.Aug;225 lbs;Memphis;Nigeria;https://www.nba.com/player/1630173/precious-achiuwa;MAY 15, 2021;MIA @ MIL;L;2;2
5;Steven Adams;MEM;12;C;06.Nov;265 lbs;Pittsburgh;New Zealand;https://www.nba.com/player/203500/steven-adams;MAY 04, 2021;NOP vs. GSW;W;24;1
6;Steven Adams;MEM;12;C;06.Nov;265 lbs;Pittsburgh;New Zealand;https://www.nba.com/player/203500/steven-adams;APR 28, 2021;NOP @ DEN;L;13;2
7;Steven Adams;MEM;12;C;06.Nov;265 lbs;Pittsburgh;New Zealand;https://www.nba.com/player/203500/steven-adams;APR 24, 2021;NOP vs. SAS;L;32;4
8;Steven Adams;MEM;12;C;06.Nov;265 lbs;Pittsburgh;New Zealand;https://www.nba.com/player/203500/steven-adams;APR 22, 2021;NOP @ ORL;W;16;12
9;Steven Adams;MEM;12;C;06.Nov;265 lbs;Pittsburgh;New Zealand;https://www.nba.com/player/203500/steven-adams;APR 20, 2021;NOP vs. BKN;L;29;7
10;Bam Adebayo;MIA;13;C-F;06.Sep;255 lbs;Kentucky;USA;https://www.nba.com/player/1628389/bam-adebayo;MAY 29, 2021;MIA vs. MIL;L;35;20
11;Bam Adebayo;MIA;13;C-F;06.Sep;255 lbs;Kentucky;USA;https://www.nba.com/player/1628389/bam-adebayo;MAY 27, 2021;MIA vs. MIL;L;32;17
12;Bam Adebayo;MIA;13;C-F;06.Sep;255 lbs;Kentucky;USA;https://www.nba.com/player/1628389/bam-adebayo;MAY 24, 2021;MIA @ MIL;L;29;16
13;Bam Adebayo;MIA;13;C-F;06.Sep;255 lbs;Kentucky;USA;https://www.nba.com/player/1628389/bam-adebayo;MAY 22, 2021;MIA @ MIL;L;41;9
14;Bam Adebayo;MIA;13;C-F;06.Sep;255 lbs;Kentucky;USA;https://www.nba.com/player/1628389/bam-adebayo;MAY 15, 2021;MIA @ MIL;L;33;5
15;Santi Aldama;MEM;;F-C;06.Nov;215 lbs;Loyola-Maryland;Spain;https://www.nba.com/player/1630583/santi-aldama;No data;No data;No data;No data;No data
16;Santi Aldama;MEM;;F-C;06.Nov;215 lbs;Loyola-Maryland;Spain;https://www.nba.com/player/1630583/santi-aldama;No data;No data;No data;No data;No data
17;Santi Aldama;MEM;;F-C;06.Nov;215 lbs;Loyola-Maryland;Spain;https://www.nba.com/player/1630583/santi-aldama;No data;No data;No data;No data;No data
18;Santi Aldama;MEM;;F-C;06.Nov;215 lbs;Loyola-Maryland;Spain;https://www.nba.com/player/1630583/santi-aldama;No data;No data;No data;No data;No data
19;Santi Aldama;MEM;;F-C;06.Nov;215 lbs;Loyola-Maryland;Spain;https://www.nba.com/player/1630583/santi-aldama;No data;No data;No data;No data;No data
20;La Marcus Aldridge;BKN;21;C-F;06.Nov;250 lbs;Texas-Austin;USA;https://www.nba.com/player/200746/lamarcus-aldridge;APR 10, 2021;BKN vs. LAL;L;23;12
21;La Marcus Aldridge;BKN;21;C-F;06.Nov;250 lbs;Texas-Austin;USA;https://www.nba.com/player/200746/lamarcus-aldridge;APR 07, 2021;BKN vs. NOP;W;23;22
22;La Marcus Aldridge;BKN;21;C-F;06.Nov;250 lbs;Texas-Austin;USA;https://www.nba.com/player/200746/lamarcus-aldridge;APR 05, 2021;BKN vs. NYK;W;29;8
23;La Marcus Aldridge;BKN;21;C-F;06.Nov;250 lbs;Texas-Austin;USA;https://www.nba.com/player/200746/lamarcus-aldridge;APR 04, 2021;BKN @ CHI;L;26;11
24;La Marcus Aldridge;BKN;21;C-F;06.Nov;250 lbs;Texas-Austin;USA;https://www.nba.com/player/200746/lamarcus-aldridge;APR 01, 2021;BKN vs. CHA;W;30;11
25;Nickeil Alexander-Walker;NOP;6;G;06.Jun;205 lbs;Virginia Tech;Canada;https://www.nba.com/player/1629638/nickeil-alexander-walker;MAY 16, 2021;NOP vs. LAL;L;37;14
26;Nickeil Alexander-Walker;NOP;6;G;06.Jun;205 lbs;Virginia Tech;Canada;https://www.nba.com/player/1629638/nickeil-alexander-walker;MAY 14, 2021;NOP @ GSW;L;40;30
27;Nickeil Alexander-Walker;NOP;6;G;06.Jun;205 lbs;Virginia Tech;Canada;https://www.nba.com/player/1629638/nickeil-alexander-walker;MAY 12, 2021;NOP @ DAL;L;35;13
28;Nickeil Alexander-Walker;NOP;6;G;06.Jun;205 lbs;Virginia Tech;Canada;https://www.nba.com/player/1629638/nickeil-alexander-walker;MAY 10, 2021;NOP @ MEM;L;24;18
29;Nickeil Alexander-Walker;NOP;6;G;06.Jun;205 lbs;Virginia Tech;Canada;https://www.nba.com/player/1629638/nickeil-alexander-walker;MAY 09, 2021;NOP @ CHA;W;21;13
30;Grayson Allen;MIL;3;G;06.Apr;198 lbs;Duke;USA;https://www.nba.com/player/1628960/grayson-allen;JUN 02, 2021;MEM @ UTA;L;15;2
31;Grayson Allen;MIL;3;G;06.Apr;198 lbs;Duke;USA;https://www.nba.com/player/1628960/grayson-allen;MAY 31, 2021;MEM vs. UTA;L;29;8
32;Grayson Allen;MIL;3;G;06.Apr;198 lbs;Duke;USA;https://www.nba.com/player/1628960/grayson-allen;MAY 29, 2021;MEM vs. UTA;L;30;17
33;Grayson Allen;MIL;3;G;06.Apr;198 lbs;Duke;USA;https://www.nba.com/player/1628960/grayson-allen;MAY 26, 2021;MEM @ UTA;L;19;0
34;Grayson Allen;MIL;3;G;06.Apr;198 lbs;Duke;USA;https://www.nba.com/player/1628960/grayson-allen;MAY 23, 2021;MEM @ UTA;W;23;5
